date,cpi_index,cpi_yoy
2016-01-01,99.5,
2016-02-01,99.8,
2016-03-01,100.2,
2016-04-01,100.2,
2016-05-01,100.4,
2016-06-01,100.6,
2016-07-01,100.6,
2016-08-01,100.9,
2016-09-01,101.1,
2016-10-01,101.2,
2016-11-01,101.4,
2016-12-01,101.9,
2017-01-01,101.4,1.9095477386934734
2017-02-01,102.1,2.3046092184368705
2017-03-01,102.5,2.2954091816367317
2017-04-01,102.9,2.6946107784431073
2017-05-01,103.3,2.8884462151394397
2017-06-01,103.3,2.6838966202783254
2017-07-01,103.2,2.5844930417495027
2017-08-01,103.8,2.874132804757168
2017-09-01,104.1,2.9673590504450953
2017-10-01,104.2,2.964426877470361
2017-11-01,104.6,3.155818540433919
2017-12-01,104.9,2.944062806673209
2018-01-01,104.4,2.9585798816567976
2018-02-01,104.9,2.7424094025465307
2018-03-01,105.0,2.4390243902439046
2018-04-01,105.4,2.4295432458697697
2018-05-01,105.8,2.420135527589551
2018-06-01,105.8,2.420135527589551
2018-07-01,105.8,2.519379844961245
2018-08-01,106.5,2.6011560693641744
2018-09-01,106.6,2.401536983669539
2018-10-01,106.7,2.399232245681371
2018-11-01,107.0,2.294455066921608
2018-12-01,107.1,2.0972354623450817
2019-01-01,106.3,1.8199233716474916
2019-02-01,106.8,1.8112488083889433
2019-03-01,107.0,1.904761904761898
2019-04-01,107.6,2.0872865275142205
2019-05-01,107.9,1.9848771266540721
2019-06-01,107.9,1.9848771266540721
2019-07-01,107.9,1.9848771266540721
2019-08-01,108.4,1.7840375586854584
2019-09-01,108.5,1.7823639774859235
2019-10-01,108.3,1.4995313964386137
2019-11-01,108.5,1.4018691588784993
2019-12-01,108.5,1.3071895424836555
2020-01-01,108.2,1.7873941674506177
2020-02-01,108.6,1.6853932584269593
2020-03-01,108.6,1.495327102803734
2020-04-01,108.5,0.8364312267657992
2020-05-01,108.5,0.556070435588496
2020-06-01,108.6,0.6487488415199083
2020-07-01,109.1,1.1121408711770142
2020-08-01,108.6,0.18450184501843658
2020-09-01,109.1,0.5529953917050578
2020-10-01,109.1,0.7386888273314796
2020-11-01,108.9,0.36866359447005337
2020-12-01,109.2,0.6451612903225934
2021-01-01,109.0,0.7393715341959206
2021-02-01,109.1,0.4604051565377576
2021-03-01,109.4,0.7366482504604255
2021-04-01,110.1,1.474654377880169
2021-05-01,110.8,2.1198156682027625
2021-06-01,111.3,2.4861878453038777
2021-07-01,111.3,2.016498625114571
2021-08-01,112.1,3.222836095764281
2021-09-01,112.4,3.024747937671868
2021-10-01,113.6,4.124656278643446
2021-11-01,114.5,5.1423324150596805
2021-12-01,115.1,5.402930402930406
2022-01-01,114.9,5.412844036697262
2022-02-01,115.8,6.141154903758017
2022-03-01,117.1,7.038391224862872
2022-04-01,120.0,8.99182561307903
2022-05-01,120.8,9.025270758122739
2022-06-01,121.8,9.433962264150942
2022-07-01,122.5,10.062893081761004
2022-08-01,123.1,9.812667261373775
2022-09-01,123.8,10.142348754448394
2022-10-01,126.2,11.09154929577465
2022-11-01,126.7,10.65502183406113
2022-12-01,127.2,10.512597741094698
2023-01-01,126.4,10.008703220191473
2023-02-01,127.9,10.449050086355793
2023-03-01,128.9,10.076857386848847
2023-04-01,130.4,8.666666666666668
2023-05-01,131.3,8.69205298013247
2023-06-01,131.5,7.9638752052545225
2023-07-01,130.9,6.857142857142873
2023-08-01,131.3,6.661251015434622
2023-09-01,132.0,6.623586429725359
2023-10-01,132.0,4.5958795562599075
2023-11-01,131.7,3.946329913180735
2023-12-01,132.2,3.9308176100628867
2024-01-01,131.5,4.034810126582267
2024-02-01,132.3,3.4401876465989023
2024-03-01,133.0,3.1807602792862655
2024-04-01,133.5,2.3773006134969243
2024-05-01,133.9,1.980198019801982
2024-06-01,134.1,1.9771863117870714
2024-07-01,133.8,2.2154316271963292
2024-08-01,134.3,2.2848438690022954
2024-09-01,134.2,1.6666666666666607
2024-10-01,135.0,2.2727272727272707
2024-11-01,135.1,2.581624905087332
2024-12-01,135.6,2.571860816944027
2025-01-01,135.4,2.965779467680618
2025-02-01,136.0,2.7966742252456545
2025-03-01,136.5,2.6315789473684292
2025-04-01,138.2,3.5205992509363293
2025-05-01,138.4,3.3607169529499714
2025-06-01,138.9,3.5794183445190253
2025-07-01,139.0,3.886397608370684
2025-08-01,139.3,3.7230081906180157
2025-09-01,139.3,3.800298062593166
2025-10-01,139.8,3.5555555555555562
2025-11-01,139.5,3.2568467801628476
2025-12-01,140.1,3.31858407079646
2026-01-01,139.5,3.0280649926144765
2026-02-01,140.1,3.0147058823529305
