,de_10yr
2016-01-01,0.4305
2016-02-01,0.172857142857143
2016-03-01,0.171428571428571
2016-04-01,0.134285714285714
2016-05-01,0.132857142857143
2016-06-01,-0.0168181818181818
2016-07-01,-0.154285714285714
2016-08-01,-0.131739130434783
2016-09-01,-0.0840909090909091
2016-10-01,0.002
2016-11-01,0.189090909090909
2016-12-01,0.251904761904762
2017-01-01,0.250909090909091
2017-02-01,0.258
2017-03-01,0.348260869565217
2017-04-01,0.225555555555556
2017-05-01,0.336363636363636
2017-06-01,0.25047619047619
2017-07-01,0.455714285714286
2017-08-01,0.346086956521739
2017-09-01,0.347142857142857
2017-10-01,0.3725
2017-11-01,0.308181818181818
2017-12-01,0.296842105263158
2018-01-01,0.474545454545455
2018-02-01,0.659
2018-03-01,0.52952380952381
2018-04-01,0.48
2018-05-01,0.45
2018-06-01,0.327142857142857
2018-07-01,0.274545454545455
2018-08-01,0.290869565217391
2018-09-01,0.3705
2018-10-01,0.399090909090909
2018-11-01,0.314090909090909
2018-12-01,0.187058823529412
2019-01-01,0.132727272727273
2019-02-01,0.0555
2019-03-01,0.010952380952381
2019-04-01,-0.0395
2019-05-01,-0.134545454545455
2019-06-01,-0.315263157894737
2019-07-01,-0.388260869565217
2019-08-01,-0.649090909090909
2019-09-01,-0.594761904761905
2019-10-01,-0.469545454545455
2019-11-01,-0.352380952380952
2019-12-01,-0.299444444444444
2020-01-01,-0.313636363636364
2020-02-01,-0.466
2020-03-01,-0.541363636363636
2020-04-01,-0.4495
2020-05-01,-0.5165
2020-06-01,-0.434285714285714
2020-07-01,-0.52304347826087
2020-08-01,-0.523333333333333
2020-09-01,-0.524090909090909
2020-10-01,-0.607272727272727
2020-11-01,-0.614761904761905
2020-12-01,-0.6185
2021-01-01,-0.5835
2021-02-01,-0.4455
2021-03-01,-0.364782608695652
2021-04-01,-0.325
2021-05-01,-0.2235
2021-06-01,-0.288636363636364
2021-07-01,-0.451363636363636
2021-08-01,-0.538636363636364
2021-09-01,-0.362727272727273
2021-10-01,-0.204285714285714
2021-11-01,-0.313636363636364
2021-12-01,-0.384285714285714
2022-01-01,-0.114761904761905
2022-02-01,0.15
2022-03-01,0.281739130434783
2022-04-01,0.746315789473684
2022-05-01,0.952727272727273
2022-06-01,1.445
2022-07-01,1.08190476190476
2022-08-01,1.03434782608696
2022-09-01,1.79545454545455
2022-10-01,2.18666666666667
2022-11-01,2.06636363636364
2022-12-01,2.0852380952381
2023-01-01,2.19272727272727
2023-02-01,2.3705
2023-03-01,2.38347826086957
2023-04-01,2.35944444444444
2023-05-01,2.34227272727273
2023-06-01,2.37636363636364
2023-07-01,2.45666666666667
2023-08-01,2.54565217391304
2023-09-01,2.66142857142857
2023-10-01,2.82318181818182
2023-11-01,2.60136363636364
2023-12-01,2.10210526315789
2024-01-01,2.17454545454545
2024-02-01,2.33190476190476
2024-03-01,2.3495
2024-04-01,2.44571428571429
2024-05-01,2.51954545454545
2024-06-01,2.4845
2024-07-01,2.45826086956522
2024-08-01,2.20772727272727
2024-09-01,2.16714285714286
2024-10-01,2.2295652173913
2024-11-01,2.30571428571429
2024-12-01,2.17888888888889
2025-01-01,2.48363636363636
2025-02-01,2.4055
2025-03-01,2.74142857142857
2025-04-01,2.5105
2025-05-01,2.56285714285714
2025-06-01,2.51904761904762
2025-07-01,2.63130434782609
2025-08-01,2.67333333333333
2025-09-01,2.69318181818182
2025-10-01,2.61782608695652
2025-11-01,2.6575
2025-12-01,2.81421052631579
2026-01-01,2.80666666666667
