0,uk_real_5yr,uk_real_10yr,uk_real_30yr
2016-01-04,-0.9966783793423806,-0.7239955023490352,-0.7328451490590097
2016-01-05,-1.0211300719801297,-0.7402954131174959,-0.7377994013339697
2016-01-06,-1.0729230645000927,-0.7977954710519075,-0.7726289298359081
2016-01-07,-1.0780741676559273,-0.8054266965445567,-0.770915167044236
2016-01-08,-1.1159328391339955,-0.8360462460195446,-0.7669362558054846
2016-01-11,-1.1239710794793543,-0.8429713349159498,-0.7841990812232164
2016-01-12,-1.1179241152973858,-0.8404688241433919,-0.8150504338212834
2016-01-13,-1.1309667617598729,-0.8475270537702698,-0.824707456679482
2016-01-14,-1.116990358746293,-0.8313842860286652,-0.8055705553310623
2016-01-15,-1.15372987448173,-0.8641474370729494,-0.8252996166134401
2016-01-18,-1.117368015241734,-0.8295967514442444,-0.8220043537126275
2016-01-19,-1.1356637840038566,-0.8306624840574033,-0.8003575620241118
2016-01-20,-1.1589924102394158,-0.8783142808284667,-0.8441682380108412
2016-01-21,-1.1425599588008517,-0.8607476817620328,-0.829315389692183
2016-01-22,-1.1739972453098102,-0.8770097974570439,-0.8303329313703156
2016-01-25,-1.2016535016576806,-0.9017600572180742,-0.857440505851723
2016-01-26,-1.1985493090554291,-0.896803872669081,-0.8607801746753865
2016-01-27,-1.1960494524677276,-0.8976445273966336,-0.8686370433578265
2016-01-28,-1.2236425132898743,-0.9208959958802201,-0.877012862736312
2016-01-29,-1.291136517508494,-0.9701845403720348,-0.9073875180803984
2016-02-01,-1.2247193919606274,-0.9070730719575858,-0.8574777081088478
2016-02-02,-1.2430476367291867,-0.9326864600153243,-0.8910993368552316
2016-02-03,-1.2796536901317923,-0.9666531683061408,-0.9250482446759282
2016-02-04,-1.2866365491182248,-0.9505904785329895,-0.9064255937602206
2016-02-05,-1.2946719952278245,-0.9625034414854372,-0.9110415006678833
2016-02-08,-1.3750360333033527,-1.052590352581953,-0.9791736067551892
2016-02-09,-1.321437074648933,-1.0135797210680841,-0.9434038784316542
2016-02-10,-1.2822255235696123,-0.9898134039411343,-0.9334648569424336
2016-02-11,-1.3430052765157774,-1.0710465157970515,-1.0050490086825357
2016-02-12,-1.2340947060934742,-0.9729457229328462,-0.9357226842297487
2016-02-15,-1.2502078137242179,-0.9810711243895796,-0.9363753004848533
2016-02-16,-1.254284891994913,-0.9778720460074707,-0.9250211345381328
2016-02-17,-1.2207003464626855,-0.9348548341784841,-0.8858821773645869
2016-02-18,-1.2350138844765728,-0.9505944643410384,-0.8599159598930866
2016-02-19,-1.2200969821637884,-0.9431562817877426,-0.8523943349607965
2016-02-22,-1.2234184439780216,-0.9441680979700017,-0.8474185167921006
2016-02-23,-1.2264016344055562,-0.9371745193924659,-0.8421087436856917
2016-02-24,-1.244988740236507,-0.9686725069222734,-0.8520704288633638
2016-02-25,-1.2466749649713311,-0.9593646052543068,-0.8182779269646959
2016-02-26,-1.2514504013987477,-0.9576208617744356,-0.8265710632307047
2016-02-29,-1.2940622475903574,-1.0088470120689184,-0.8702870197646455
2016-03-01,-1.2657139365061587,-0.9743783967332942,-0.8537989012741681
2016-03-02,-1.2476832981453159,-0.9405977827903923,-0.8475004443845653
2016-03-03,-1.2860765233533757,-0.973064170176514,-0.8781322126801548
2016-03-04,-1.3404902428264998,-0.9986773653647847,-0.8709455096401036
2016-03-07,-1.367292786801923,-1.0170310633811492,-0.8726169375110062
2016-03-08,-1.388668806615476,-1.0713717183538305,-0.9642802104053966
2016-03-09,-1.3534817933727383,-1.0163851554748788,-0.9227895717838251
2016-03-10,-1.3540371683253194,-1.0234899622010747,-0.9543477387786384
2016-03-11,-1.3430052717495982,-1.007424783904817,-0.9354073519304834
2016-03-14,-1.3799532235219796,-1.0355242337791917,-0.9481696470181054
2016-03-15,-1.3687163011564885,-1.022354685215832,-0.9341132751750659
2016-03-16,-1.385678892099346,-1.0297527869010987,-0.917047227294945
2016-03-17,-1.4679614148380289,-1.1008250431076498,-0.9561792504416261
2016-03-18,-1.4755198757715746,-1.1053581306755975,-0.9648616607720907
2016-03-21,-1.4319774929321345,-1.0652599059847183,-0.9389402174087376
2016-03-22,-1.4848324078255541,-1.1013188814558759,-0.9585631040276837
2016-03-23,-1.488204657902651,-1.1036094859228278,-0.9679056951566537
2016-03-24,-1.4734912797928705,-1.0774998028510672,-0.9179419788814316
2016-03-29,-1.4884999511732455,-1.092042777510992,-0.9093128707103222
2016-03-30,-1.48199264897598,-1.0801827753105329,-0.9017079431632831
2016-03-31,-1.5128022765965787,-1.1139911090813106,-0.9415320150765536
2016-04-01,-1.4986264742673938,-1.1003895394038659,-0.925668891621611
2016-04-04,-1.506005839514277,-1.1131194549713652,-0.9444118345065925
2016-04-05,-1.5183540112796012,-1.1281339302746007,-0.9473582393997352
2016-04-06,-1.528525066063081,-1.1220641691121562,-0.9422447259224128
2016-04-07,-1.6039438786364428,-1.1847487342586516,-0.9711305902428468
2016-04-08,-1.6107049858236018,-1.1693913627900199,-0.9371436240879275
2016-04-11,-1.6186872103556553,-1.1591694926784792,-0.9115570899625748
2016-04-12,-1.6397648833193053,-1.1435864561685782,-0.8790457495135894
2016-04-13,-1.6505370559109493,-1.1579502064847205,-0.9262862854798036
2016-04-14,-1.6002543238778124,-1.1154264888020782,-0.9082240448644555
2016-04-15,-1.5917983048090278,-1.1156987563287653,-0.9135298802513889
2016-04-18,-1.5343385290665246,-1.0574426302783086,-0.8709052817518234
2016-04-19,-1.5250341113441643,-1.041582365058223,-0.8558955666134068
2016-04-20,-1.5383548556273097,-1.0674736702438878,-0.888288211827627
2016-04-21,-1.492359909195256,-1.0052574016906408,-0.8355695258572412
2016-04-22,-1.4998137717391513,-1.0041259161974385,-0.8267761209940337
2016-04-25,-1.4683617528686237,-0.9816442595801373,-0.822475201530682
2016-04-26,-1.4030226220975273,-0.915192267478411,-0.7692768311001622
2016-04-27,-1.3957823442737831,-0.9241826473873301,-0.7791140145248814
2016-04-28,-1.3872872689584077,-0.9326328825552557,-0.7944168190785516
2016-04-29,-1.3830359439588715,-0.9454439465180846,-0.8231281162122563
2016-05-03,-1.38776489813271,-0.9619959524499931,-0.8640322872643671
2016-05-04,-1.375231687144903,-0.9500572215702491,-0.8358822202353616
2016-05-05,-1.4012261482894994,-0.980344995340312,-0.8474089340863429
2016-05-06,-1.4205058975948404,-1.012670120817019,-0.8736998412870695
2016-05-09,-1.4103337827404645,-0.9944441372372778,-0.8512766406993973
2016-05-10,-1.410206059198867,-0.9965597546255504,-0.856154020559711
2016-05-11,-1.4004298881878243,-0.9949620348045547,-0.8635311785511806
2016-05-12,-1.423363091136668,-1.004316272141564,-0.8476182265158327
2016-05-13,-1.4395728972567934,-1.0272653050391456,-0.8613362380606351
2016-05-16,-1.4279113175120606,-1.0133974778357766,-0.8510203525623498
2016-05-17,-1.4721372845513403,-1.041601205387297,-0.8724268374914251
2016-05-18,-1.4500271906624813,-1.020092917785391,-0.8576146176973414
2016-05-19,-1.416433328064144,-1.0002864632721478,-0.857492054861742
2016-05-20,-1.3861659035060376,-0.9785621404194703,-0.8536055908478837
2016-05-23,-1.3703595148499146,-0.9754764480559223,-0.8631046602025679
2016-05-24,-1.353528767288038,-0.9771599745322306,-0.8709493123586125
2016-05-25,-1.3931263538068206,-1.0207249549378543,-0.9038957362930721
2016-05-26,-1.4195254505046906,-1.045768633576938,-0.9227932341947975
2016-05-27,-1.3864785626329201,-1.0167548432288176,-0.8991111029103193
2016-05-31,-1.3851982877585451,-1.0116958115513381,-0.9001666941995442
2016-06-01,-1.3910006885257244,-1.0218919912913869,-0.9113235497549665
2016-06-02,-1.4180994447286723,-1.03645083146395,-0.9051198155381357
2016-06-03,-1.498296701266626,-1.1086442486775128,-0.9377200059320405
2016-06-06,-1.5368004707366578,-1.1383295050065154,-0.9412068763287332
2016-06-07,-1.5125903019617024,-1.1168067651553961,-0.9308833054750719
2016-06-08,-1.5074998994080986,-1.1269920319747961,-0.9553661408042508
2016-06-09,-1.4859572992798917,-1.1119255282016753,-0.9465248860127817
2016-06-10,-1.441217254989549,-1.0999908124712827,-0.9565242377565585
2016-06-13,-1.3996240151396306,-1.0696909126087883,-0.9692316443429877
2016-06-14,-1.4837125406228522,-1.1459450601886136,-1.032488503684397
2016-06-15,-1.5180938532693289,-1.1734919291748125,-1.0748550033966071
2016-06-16,-1.5674957521291812,-1.220811247798584,-1.1107459913071223
2016-06-17,-1.5701477483744164,-1.2149396735879157,-1.075356057503256
2016-06-20,-1.5007759996138104,-1.1481701375093842,-1.0162119908002394
2016-06-21,-1.4607609302338926,-1.1144142945828968,-0.9943279721821732
2016-06-22,-1.4182611288876932,-1.0657326747096278,-0.9849164939840188
2016-06-23,-1.3951976618129476,-1.0466831168257973,-0.9896087030808854
2016-06-24,-1.7117231796142616,-1.3090338434103312,-1.1875612189292706
2016-06-27,-1.9702769734858936,-1.5133904893306753,-1.252997308536315
2016-06-28,-2.018891288525673,-1.5504837569930032,-1.2963547704798484
2016-06-29,-2.019959577708204,-1.5588310387916202,-1.3140611853995574
2016-06-30,-2.008930211748016,-1.5597839490864038,-1.3342544146372959
2016-07-01,-2.0207216624424573,-1.5871728654645354,-1.3399612125447384
2016-07-04,-1.999961059787759,-1.5828288503002488,-1.359551777514939
2016-07-05,-2.0527683868122315,-1.6295985154386212,-1.3923906417823606
2016-07-06,-2.134695017926732,-1.6849923606266255,-1.4230419373736558
2016-07-07,-2.200402994989851,-1.7163965212180965,-1.4280755575730189
2016-07-08,-2.1698558967694472,-1.7191149607328746,-1.4360496175850879
2016-07-11,-2.1507081280376825,-1.6993749883201879,-1.4121748773497367
2016-07-12,-2.067438921595313,-1.6195096894269052,-1.3581619242996361
2016-07-13,-2.0907824828781982,-1.662411623384639,-1.3993449804829605
2016-07-14,-2.0672071819408186,-1.6344431871223992,-1.3800594928689898
2016-07-15,-2.035086495409481,-1.5931664963564054,-1.3131553036716581
2016-07-18,-2.0374919818622685,-1.60576337931575,-1.3172821442705966
2016-07-19,-2.083793807115171,-1.6383228990729293,-1.3281255402449674
2016-07-20,-2.045531850104487,-1.5862816830539894,-1.2771434617411292
2016-07-21,-2.042003101184098,-1.5749625763981656,-1.2767876689327247
2016-07-22,-2.0426290357632917,-1.5838248888155033,-1.291834977217983
2016-07-25,-2.0520374285764444,-1.5842748563169708,-1.291884311746538
2016-07-26,-2.100108327872869,-1.5998070465421654,-1.2385655958256636
2016-07-27,-2.160620589384373,-1.6871780441745283,-1.3026948919869559
2016-07-28,-2.1550359326301267,-1.6937850845428333,-1.3205810945471539
2016-07-29,-2.152512152626442,-1.7154876141357918,-1.3775615173878748
2016-08-01,-2.1200345232145508,-1.687326258387733,-1.3460686704095735
2016-08-02,-2.088399076792969,-1.6390780563535596,-1.3092472828268265
2016-08-03,-2.098527273825202,-1.6520461329134233,-1.3334756908849532
2016-08-04,-2.2666215028677534,-1.8219624705500028,-1.4131477452032948
2016-08-05,-2.3013211879849047,-1.8548167204077113,-1.4365751757116711
2016-08-08,-2.3598680199050848,-1.903898090315126,-1.4808924737143054
2016-08-09,-2.408888768535404,-1.9619794597635682,-1.5233202166686808
2016-08-10,-2.4235847017768655,-2.0121753049369726,-1.606075050390527
2016-08-11,-2.3676971697353952,-1.9992317496427419,-1.6704799198642406
2016-08-12,-2.3656721221369006,-1.9873054217833297,-1.6840968263751295
2016-08-15,-2.371457096249972,-1.9812911082574345,-1.6729242825894979
2016-08-16,-2.4538308310622616,-2.021879407756768,-1.6703616359641822
2016-08-17,-2.4732684318764444,-2.027691739684351,-1.6605417160055254
2016-08-18,-2.4656012173399655,-2.028625747195817,-1.6751821281697832
2016-08-19,-2.433858238770632,-1.9878311590957327,-1.630779627410658
2016-08-22,-2.4461191853344144,-2.0163277310516765,-1.6525092946417037
2016-08-23,-2.4648774467007852,-2.0555257620999714,-1.7134133832876308
2016-08-24,-2.448225296522323,-2.054239004979094,-1.7258040832903354
2016-08-25,-2.451293691874844,-2.0679595670488324,-1.740435459842087
2016-08-26,-2.471357946152351,-2.1069681790739287,-1.7819568125795147
2016-08-30,-2.478033455227192,-2.1230445043492865,-1.7839118527282616
2016-08-31,-2.4984796358135855,-2.1367339087541746,-1.769182274768555
2016-09-01,-2.492449461260473,-2.1440122336102956,-1.7782768189255649
2016-09-02,-2.3793462684827973,-2.0449938782744743,-1.706915809631112
2016-09-05,-2.379504017051991,-2.066043263888268,-1.7355365814123902
2016-09-06,-2.4102121175005857,-2.100680497193988,-1.7557333320729003
2016-09-07,-2.4078860757802563,-2.1133866915538357,-1.7872607649500094
2016-09-08,-2.370220356367523,-2.059390039460122,-1.7114807777805534
