0,uk_inf_5yr,uk_inf_10yr,uk_inf_30yr
2016-01-04,2.2941638091759877,2.6581720900065036,3.417340769278268
2016-01-05,2.3040582415023607,2.670180190657928,3.4177897526056817
2016-01-06,2.283188937670087,2.64204588614775,3.3870941799948246
2016-01-07,2.287991591001691,2.6640171464032347,3.4228980585238507
2016-01-08,2.2845297243932863,2.6573464521077854,3.4009117258957864
2016-01-11,2.293236475899861,2.6690714948998115,3.4325393294615276
2016-01-12,2.2688363990345524,2.652928357510299,3.4407224494802966
2016-01-13,2.2646967120730634,2.6502938031314685,3.4365336893125322
2016-01-14,2.2344481986148708,2.6214297350780895,3.4116056712539646
2016-01-15,2.188537651309021,2.578082833654368,3.3811887817693878
2016-01-18,2.1872591961191477,2.582723613903302,3.409063331208224
2016-01-19,2.232030990534278,2.6013654144162928,3.400990457471417
2016-01-20,2.1956636619144794,2.56221020558435,3.3685226647992854
2016-01-21,2.2235096829222663,2.596045960281802,3.391458522519158
2016-01-22,2.2953283875298123,2.6549675721224566,3.4139867182608956
2016-01-25,2.2918616164408556,2.6484767823854756,3.398872925433047
2016-01-26,2.295029324114834,2.6507074205162464,3.391049390135871
2016-01-27,2.2896991422106368,2.6534471690130634,3.393820537587975
2016-01-28,2.288849315813275,2.648978717279819,3.3835079046831993
2016-01-29,2.248480065315191,2.605726364691468,3.3507303092038856
2016-02-01,2.2428961809022683,2.604622942582038,3.3671133609765866
2016-02-02,2.191076879448247,2.552719762828792,3.3515928514545434
2016-02-03,2.1814524649192726,2.544604904870654,3.3469138726507333
2016-02-04,2.2217046716510875,2.5866113632565724,3.372877682813919
2016-02-05,2.2337687915298456,2.6008501310214305,3.3893143741505236
2016-02-08,2.167398898385782,2.5241048647618554,3.326440673840194
2016-02-09,2.125308964032293,2.4949114132053047,3.3092892229463606
2016-02-10,2.104715284360529,2.4792035007665425,3.3101736426549984
2016-02-11,2.025132809469836,2.4158448546747557,3.2791443870582526
2016-02-12,2.0427219936119667,2.4437794672364896,3.3054418174910403
2016-02-15,2.0751914886215057,2.473441188702932,3.329678940858724
2016-02-16,2.0709543650990767,2.4723361617001567,3.3282155482804066
2016-02-17,2.0770566744180536,2.491711020417473,3.344880644358433
2016-02-18,2.055282221118114,2.4626335065926126,3.302706821865322
2016-02-19,2.0117771169877963,2.420172050778933,3.268633320346985
2016-02-22,2.0086458089125467,2.416240476522331,3.264448741795017
2016-02-23,2.0199946602297443,2.4368947373286174,3.2793565957084887
2016-02-24,1.9693201053465808,2.3900173045956588,3.2537568761083184
2016-02-25,1.9786558044844837,2.4024342219134,3.2663624743480515
2016-02-26,2.0112694744172357,2.4458022239207176,3.304096935050228
2016-02-29,1.9849374045344212,2.418409586114196,3.282962553555901
2016-03-01,2.0063162015657268,2.4428520397087974,3.296468076869096
2016-03-02,2.056558207417628,2.48419691620438,3.309837248229415
2016-03-03,2.0974039653614085,2.502382594724484,3.2984000763251493
2016-03-04,2.1842849902676686,2.570267614044905,3.322265468329351
2016-03-07,2.1986289204545093,2.576472540534181,3.335953403761156
2016-03-08,2.150899277680409,2.521490753964012,3.2869152769727807
2016-03-09,2.202638009803287,2.5700568842024585,3.323938140048636
2016-03-10,2.2727796237319873,2.6358015944733424,3.370275673893592
2016-03-11,2.315565781402246,2.6667476690006557,3.3831489462175064
2016-03-14,2.3326059309287697,2.663979765721712,3.351215932485929
2016-03-15,2.2906114401552276,2.6348965475154227,3.335466538784249
2016-03-16,2.2879845795129774,2.628644085776674,3.3316809834222108
2016-03-17,2.3116315481004,2.640160657289507,3.340539521534784
2016-03-18,2.322974839129186,2.6528567065891355,3.348831647070418
2016-03-21,2.2908740697520917,2.629441346903419,3.350591237932103
2016-03-22,2.3235373823349517,2.644176755549786,3.3629453234631788
2016-03-23,2.3248714848240644,2.639113465159233,3.356517084115278
2016-03-24,2.3336742011030047,2.6293151740077363,3.340353604169267
2016-03-29,2.313569681566357,2.5981731788642826,3.3138558221208143
2016-03-30,2.3326315822510133,2.6232933850620626,3.3357660796377493
2016-03-31,2.319152785096108,2.6181278509766024,3.314701434956212
2016-04-01,2.310761401531705,2.6230208239228476,3.3208020531262883
2016-04-04,2.3118768537015333,2.6312270825808506,3.3291832586275634
2016-04-05,2.27700631828511,2.5910322370771284,3.299007187135099
2016-04-06,2.2891300662131115,2.6011921701242757,3.29298578135441
2016-04-07,2.3098035630708087,2.6053241682339148,3.27088848900934
2016-04-08,2.3488805661101515,2.6358463158143834,3.2882862026497435
2016-04-11,2.3783033364132384,2.6557757191626417,3.302390468476517
2016-04-12,2.447567081377232,2.6894487665566262,3.3127671401681287
2016-04-13,2.452993442314565,2.6902328271535567,3.3188310961937812
2016-04-14,2.4153973193722043,2.660772994731339,3.303020009296733
2016-04-15,2.3876349034293116,2.632576223587603,3.2859038462645573
2016-04-18,2.3776561461090955,2.6336238126234255,3.30510035775103
2016-04-19,2.40574922660786,2.661453960142936,3.31175324764161
2016-04-20,2.3752898902920667,2.630664757991773,3.280503465123992
2016-04-21,2.4216512640555266,2.6824515621636937,3.3077672414850885
2016-04-22,2.4451890648781087,2.7012407161851026,3.3118694265439172
2016-04-25,2.426585136947711,2.680414619140782,3.2968557241658942
2016-04-26,2.415442041965647,2.670294180679398,3.308779461133109
2016-04-27,2.3828474002539415,2.6401315458177845,3.2849646122236926
2016-04-28,2.3535442818645733,2.6243668072486326,3.281691471389958
2016-04-29,2.3514235920131172,2.6401886829980383,3.2972930513233827
2016-05-03,2.2965765512133185,2.581406893503879,3.2576033551949157
2016-05-04,2.2757531222346623,2.574377596740294,3.247570326674965
2016-05-05,2.260493560915189,2.5559796890011612,3.233802059573229
2016-05-06,2.2359601401169975,2.5326593511899382,3.2196179844474386
2016-05-09,2.2151403158454035,2.51423067727639,3.2123823903786555
2016-05-10,2.2011620445543354,2.5039159485724367,3.208128203994554
2016-05-11,2.19217064847584,2.4934516794276913,3.21092129196803
2016-05-12,2.2284836166723,2.5146055979061317,3.214720926016806
2016-05-13,2.2222362006283416,2.507684053517967,3.196095409490888
2016-05-16,2.2304141245641276,2.514427983875883,3.1956885580054646
2016-05-17,2.2547148856648542,2.5134482347715306,3.194647611425761
2016-05-18,2.301957142024806,2.5671290897500416,3.255588532585808
2016-05-19,2.274215709653063,2.5423633396598406,3.242139759385495
2016-05-20,2.2760716586310377,2.552079332437452,3.2608371849293425
2016-05-23,2.263874170683901,2.5451109650489068,3.2598733754740223
2016-05-24,2.28045313830328,2.561152272489583,3.2672678261959405
2016-05-25,2.307820055532457,2.5789033989144823,3.2620793569128557
2016-05-26,2.302578102011058,2.569491775988522,3.234655342193456
2016-05-27,2.296310262972271,2.564475473732884,3.213523220915547
2016-05-31,2.289643495487705,2.5590953405762082,3.187751306482685
2016-06-01,2.2320744409235207,2.5042693438519024,3.1401287267519233
2016-06-02,2.2282450543729877,2.4919444772594246,3.1191159381707365
2016-06-03,2.244393339936011,2.4974765853741276,3.100706510786698
2016-06-06,2.2824576323066936,2.535462593589949,3.1254040682340594
2016-06-07,2.2469955990723793,2.4932902599651827,3.108691773985206
2016-06-08,2.24987076668385,2.490900637640366,3.1109659769405944
2016-06-09,2.2229169462437754,2.4627296714406386,3.077397237142427
2016-06-10,2.1764718815456057,2.435787335110933,3.0730036736351365
2016-06-13,2.1221848742566443,2.39864690158093,3.068646507660889
2016-06-14,2.1297127671403806,2.391534741597252,3.0624227448458115
2016-06-15,2.1561620912690183,2.4049130641245045,3.064642902636851
2016-06-16,2.1924846841616157,2.4362685813297205,3.094210857203974
2016-06-17,2.2384081023579765,2.4733392498969504,3.133154439406189
2016-06-20,2.2701181675787874,2.5100392817915025,3.1761310762178834
2016-06-21,2.267193387673883,2.513703367067936,3.179603177795937
2016-06-22,2.246241455369859,2.5053072209678113,3.194076320448871
2016-06-23,2.2576955511164165,2.5276457335438796,3.2170787196274557
2016-06-24,2.2789147966118435,2.5261995152542913,3.182375425388205
2016-06-27,2.3859050553705625,2.5854998596966743,3.140973177849893
2016-06-28,2.4554579052632337,2.625281560008172,3.1548997547339015
2016-06-29,2.4674844529312763,2.6223032618686273,3.128290599177423
2016-06-30,2.404815791686499,2.5861010683261787,3.121198462192104
2016-07-01,2.417843136794664,2.57307868590065,3.0793779578406735
2016-07-04,2.3781205321290786,2.53575333652131,3.070710039345319
2016-07-05,2.3885074328871645,2.52372982763205,3.0359814235845306
2016-07-06,2.478114463387629,2.565234652287334,3.054621565433587
2016-07-07,2.549230042786101,2.6147888270101243,3.110426409742466
2016-07-08,2.497284819987428,2.580074677388424,3.0853347320033406
2016-07-11,2.496683399223024,2.5683434907346996,3.0797820050436915
2016-07-12,2.4601858912571024,2.544023016278763,3.0755413464475754
2016-07-13,2.420526164321122,2.523536824725899,3.053714099793445
2016-07-14,2.4378734390006493,2.5472253928586963,3.066546851640939
2016-07-15,2.4355006635850445,2.5524196168820272,3.072282165129133
2016-07-18,2.4259781803928115,2.540232593972868,3.0608460366966748
2016-07-19,2.47360390054244,2.567108555111724,3.0672344897539334
2016-07-20,2.4468529831079047,2.5424163145381806,3.0597468336405065
2016-07-21,2.441542058336861,2.545981140251366,3.082753210578442
2016-07-22,2.401232689565981,2.5176733776181752,3.0585633374244425
2016-07-25,2.40285307787282,2.5170368362748516,3.0492920262923127
2016-07-26,2.4701217124447656,2.551245190629899,3.020390932187256
2016-07-27,2.4598610298528674,2.536795507172828,2.9938941272766666
2016-07-28,2.448489522559072,2.522121558924624,3.001565888307254
2016-07-29,2.4276986513182592,2.5152504980433017,3.005785201429627
